word1,word2,similarity_score_1,similarity_score_2,similarity_score_3,similarity_score_4,similarity_score_5,similarity_score_6,similarity_score_7,similarity_score_8,similarity_score_9,similarity_score_10,similarity_score_11,similarity_score_12,similarity_score_13,similarity_score_14,similarity_score_15
smart,intelligent,8.5,7.0,8.5,8.5,8.5,8.5,9.5,9.5,9.0,8.75,9.5,8.5,9.5,9.5,8.5
hard,difficult,7.5,6.0,8.0,8.0,7.0,6.5,7.0,8.5,8.5,8.25,8.0,8.6,8.0,7.5,7.5
happy,cheerful,6.75,8.5,9.0,8.0,8.5,7.5,8.5,7.5,8.0,8.5,8.5,8.7,7.0,8.5,7.5
hard,easy,2.0,2.0,3.0,2.0,4.0,2.5,4.0,1.0,1.5,1.5,4.0,2.0,2.0,3.0,1.5
fast,rapid,8.5,9.0,9.5,9.5,9.0,9.0,9.5,9.5,9.5,9.0,9.5,9.0,9.5,8.0,9.0
happy,glad,7.25,7.5,8.5,8.0,7.5,7.0,7.5,8.0,7.5,8.25,7.0,8.5,6.0,7.5,8.0
short,long,6.0,5.0,7.5,5.0,7.0,5.5,6.5,8.5,7.0,7.0,8.5,7.5,7.0,7.0,6.5
stupid,dumb,8.0,8.5,8.5,8.5,7.5,8.5,8.5,8.0,8.5,9.25,9.0,8.8,9.0,9.0,8.5
weird,strange,7.5,9.0,9.0,9.0,8.0,8.0,8.0,9.0,9.5,8.75,8.0,9.0,7.5,8.0,8.5
wide,narrow,6.75,4.0,7.0,7.0,6.0,6.0,7.5,7.5,5.0,7.0,6.0,7.0,6.5,4.5,5.5
bad,awful,4.5,7.0,8.0,7.0,6.5,7.0,7.0,7.5,8.0,8.75,7.5,8.0,8.0,7.0,7.0
easy,difficult,5.75,3.0,6.0,2.5,4.0,6.0,4.5,7.0,2.0,6.25,7.5,2.0,7.0,5.0,5.5
bad,terrible,4.75,7.5,7.5,8.0,7.5,7.5,7.5,8.5,8.5,8.75,8.0,7.5,8.0,7.5,7.5
hard,simple,2.75,2.0,5.5,5.5,4.5,4.0,4.0,3.0,2.0,3.75,3.0,5.0,6.0,4.0,4.0
smart,dumb,7.25,6.0,4.5,6.5,6.5,5.5,6.0,5.5,6.5,6.75,6.0,7.5,7.0,6.5,3.0
insane,crazy,8.5,9.5,9.0,9.0,8.5,9.0,8.5,8.0,9.0,9.5,8.0,8.5,9.0,8.5,8.5
happy,mad,5.75,6.0,7.5,5.0,6.5,6.0,6.0,5.0,7.0,7.5,6.0,7.5,5.0,6.5,5.0
large,huge,8.0,8.5,9.0,8.0,8.0,8.0,9.0,9.5,9.0,8.5,9.0,9.0,8.5,8.0,8.0
hard,tough,7.0,8.0,8.0,7.5,7.5,7.0,8.5,8.0,8.75,8.0,8.0,8.0,8.0,8.0,9.5
new,fresh,8.0,8.5,8.5,8.5,7.5,6.0,8.5,7.5,9.0,8.5,8.5,8.0,7.5,8.0,6.75
sharp,dull,6.5,6.5,7.5,6.5,7.0,7.5,7.0,7.5,8.5,7.5,7.5,7.5,7.5,6.5,6.75
quick,rapid,8.0,9.0,9.0,9.0,8.5,8.0,9.5,9.5,9.5,9.0,9.0,9.0,8.5,8.0,8.5
dumb,foolish,8.25,8.0,7.0,8.5,7.5,7.5,8.0,8.0,9.0,8.5,8.0,8.5,8.0,7.5,7.5
wonderful,terrific,8.25,9.5,8.5,9.5,8.5,8.5,8.0,9.0,9.5,9.0,8.5,8.0,8.5,8.5,9.0
strange,odd,8.0,8.5,8.5,8.5,8.5,8.0,9.0,9.0,9.25,8.5,8.5,8.5,8.0,8.5,8.5
happy,angry,6.0,4.0,5.0,4.0,6.0,4.5,5.5,5.5,6.5,6.0,7.5,6.0,5.5,4.5,5.25
narrow,broad,6.5,6.0,7.0,7.5,7.0,7.0,7.5,6.0,7.75,6.0,7.5,6.5,6.0,7.0,7.75
simple,easy,6.75,6.0,7.5,7.5,6.5,7.0,8.0,8.0,9.0,8.5,8.0,8.0,8.0,6.5,8.0
old,fresh,5.75,5.5,6.5,5.0,6.0,6.5,6.5,7.0,5.5,6.5,5.0,7.0,6.5,5.5,4.5
apparent,obvious,8.5,9.5,9.5,9.0,8.0,9.0,8.0,8.5,9.5,9.0,9.0,9.0,8.5,8.5,9.5
inexpensive,cheap,8.75,8.5,9.0,9.0,8.5,8.5,9.5,9.0,9.5,8.5,9.0,9.0,8.5,8.5,8.75
nice,generous,7.0,7.0,8.0,7.5,7.0,7.5,7.5,7.0,6.75,7.5,8.5,7.5,7.0,7.5,6.0
weird,normal,6.25,7.5,7.5,7.5,6.5,7.5,7.5,6.5,6.75,7.5,7.5,6.5,5.0,7.5,3.5
weird,odd,7.75,9.0,8.5,8.5,8.0,8.5,6.5,8.0,8.75,9.0,8.5,9.0,8.0,8.5,8.75
bad,immoral,6.25,6.5,6.0,6.5,7.0,5.0,5.5,8.0,8.25,6.5,8.0,7.0,5.5,6.5,7.0
sad,funny,5.5,3.0,6.0,4.0,5.5,4.0,4.0,3.0,7.5,4.0,5.0,5.5,3.5,4.5,2.5
wonderful,great,8.25,8.5,8.5,9.0,8.0,8.0,9.0,9.0,9.5,9.0,8.5,9.0,8.5,9.0,8.0
guilty,ashamed,7.75,8.0,8.0,8.5,7.0,7.0,7.5,7.0,8.75,8.0,8.5,7.0,5.0,7.5,5.5
beautiful,wonderful,8.5,8.5,8.5,9.0,8.5,9.0,8.0,9.0,9.25,9.0,8.5,8.5,8.5,8.5,8.25
confident,sure,7.5,7.5,8.5,8.5,8.0,8.5,8.0,7.5,8.75,8.0,8.5,8.5,8.5,8.0,9.0
dumb,dense,0.33,1.0,1.0,1.25,2.5,1.0,1.0,6.67,0.92,2.5,0.88,2.0,2.0,1.8,2.5
