word1,word2,similarity_score_1,similarity_score_2,similarity_score_3,similarity_score_4,similarity_score_5,similarity_score_6,similarity_score_7,similarity_score_8,similarity_score_9,similarity_score_10,similarity_score_11,similarity_score_12,similarity_score_13,similarity_score_14,similarity_score_15
oud,nieuw,0.1,0.06,0.0,0.0,0.13,0.45,0.1,0.08,0.1,0.05,0.02,0.04,0.32,0.13,0.06
slim,intelligent,0.95,0.05,8.0,8.0,0.72,0.9,0.9,0.95,0.95,0.9,0.95,0.79,0.93,0.7,1.0
hard,moeilijk,0.1,0.03,2.0,2.0,0.12,0.2,0.2,0.1,0.1,0.1,0.15,0.26,0.27,0.04,0.09
gelukkig,vrolijk,0.8,0.05,6.0,6.0,0.67,0.65,0.8,0.7,0.75,0.8,0.7,0.62,0.75,0.49,0.65
hard,stoer,0.4,0.07,2.0,4.0,0.26,0.3,0.2,0.2,0.45,0.2,0.45,0.51,0.49,0.42,0.58
snel,razendsnel,0.9,0.09,9.0,8.0,0.86,0.85,0.9,0.9,0.9,0.95,0.9,0.91,0.89,0.92,0.8
gelukkig,blij,0.7,0.07,7.0,7.0,0.7,0.75,0.8,0.75,0.8,0.7,0.8,0.72,0.68,0.61,0.77
kort,lang,0.1,0.03,2.0,1.0,0.26,0.1,0.1,0.05,0.1,0.05,0.05,0.13,0.14,0.04,0.14
dom,stom,0.8,0.09,7.0,6.0,0.59,0.7,0.7,0.8,0.8,0.8,0.6,0.61,0.78,0.54,0.76
vreemd,eigenaardig,0.9,0.09,9.0,9.0,0.81,0.9,0.9,0.9,0.85,0.9,0.95,0.83,0.89,0.78,1.0
breed,smal,0.1,0.09,4.0,2.0,0.17,0.7,0.6,0.85,0.25,0.1,0.5,0.36,0.63,0.25,0.15
makkelijk,moeilijk,0.9,0.09,3.0,2.0,0.12,0.3,0.1,0.1,0.2,0.2,0.15,0.23,0.35,0.39,0.61
moeilijk,gemakkelijk,0.9,0.08,7.0,8.0,0.8,0.65,0.1,0.8,0.9,0.8,0.85,0.52,0.63,0.58,0.72
slim,dom,0.8,0.09,5.0,3.0,0.21,0.35,0.2,0.75,0.1,0.1,0.3,0.43,0.29,0.48,0.29
krankzinnig,gek,0.95,0.09,9.0,9.0,0.86,0.85,0.9,0.9,0.9,0.9,0.9,0.81,0.93,0.82,0.91
gelukkig,kwaad,0.2,0.05,1.0,2.0,0.31,0.15,0.2,0.05,0.1,0.1,0.1,0.25,0.12,0.16,0.21
uitgebreid,groot,0.7,0.05,6.0,4.0,0.47,0.6,0.5,0.35,0.2,0.1,0.6,0.63,0.61,0.42,0.38
moeilijk,simpel,0.75,0.07,7.0,7.0,0.55,0.5,0.2,0.75,0.65,0.3,0.8,0.62,0.5,0.65,0.73
nieuw,vers,0.6,0.06,2.0,6.0,0.39,0.65,0.8,0.75,0.8,0.7,0.75,0.69,0.67,0.71,0.12
scherp,saai,0.1,0.02,1.0,2.0,0.24,0.2,0.1,0.1,0.2,0.1,0.3,0.21,0.22,0.19,0.08
vlug,snel,0.8,0.08,8.0,7.0,0.71,0.85,0.9,0.85,0.85,0.9,0.85,0.7,0.86,0.85,0.67
dom,dwaas,0.85,0.09,6.0,6.0,0.67,0.8,0.7,0.8,0.85,0.9,0.7,0.63,0.6,0.61,0.75
prachtig,fantastisch,0.9,0.07,7.0,7.0,0.73,0.85,0.8,0.8,0.9,0.8,0.8,0.85,0.91,0.78,0.51
eigenaardig,vreemd,0.9,0.09,9.0,9.0,0.81,0.9,0.9,0.9,0.85,0.85,0.95,0.92,0.89,0.78,1.0
gelukkig,boos,0.2,0.03,1.0,1.0,0.18,0.2,0.1,0.1,0.1,0.15,0.1,0.25,0.18,0.2,0.11
smal,breed,0.1,0.09,4.0,4.0,0.17,0.7,0.6,0.85,0.25,0.2,0.5,0.34,0.63,0.56,0.15
eenvoudig,gemakkelijk,0.9,0.09,8.0,8.0,0.82,0.85,0.9,0.9,0.9,0.9,0.85,0.51,0.89,0.74,0.8
oud,vers,0.3,0.06,1.0,3.0,0.3,0.35,0.1,0.05,0.2,0.1,0.15,0.44,0.47,0.34,0.08
kennelijk,duidelijk,0.6,0.03,7.0,6.0,0.73,0.75,0.5,0.4,0.5,0.6,0.65,0.43,0.59,0.66,0.25
betaalbaar,goedkoop,0.9,0.08,9.0,9.0,0.81,0.95,0.9,0.9,0.95,1.0,0.9,0.67,0.93,0.94,1.0
leuk,grootmoedig,0.1,0.02,1.0,1.0,0.17,0.1,0.1,0.1,0.1,0.05,0.1,0.09,0.12,0.27,0.18
raar,vreemd,0.9,0.08,8.0,6.0,0.82,0.85,0.8,0.95,0.85,0.8,0.7,0.74,0.73,0.67,0.93
vreemd,normaal,0.4,0.05,1.0,3.0,0.22,0.4,0.3,0.1,0.1,0.1,0.05,0.24,0.3,0.2,0.13
slecht,immoreel,0.7,0.05,6.0,7.0,0.51,0.8,0.7,0.8,0.45,0.8,0.7,0.65,0.77,0.75,0.21
verdrietig,grappig,0.1,0.05,1.0,2.0,0.2,0.4,0.1,0.05,0.1,0.05,0.1,0.22,0.08,0.16,0.21
prachtig,geweldig,0.9,0.07,8.0,8.0,0.8,0.85,0.9,0.9,0.85,0.9,0.8,0.88,0.83,0.88,0.77
