word1,word2,similarity_score_1,similarity_score_2,similarity_score_3,similarity_score_4,similarity_score_5,similarity_score_6,similarity_score_7,similarity_score_8,similarity_score_9,similarity_score_10,similarity_score_11,similarity_score_12,similarity_score_13,similarity_score_14,similarity_score_15
gelukkig,vrolijk,6.47,6.67,5.0,7.82,5.0,3.33,4.68,5.48,3.57,6.67,4.23,5.0,7.14,6.67,5.29
hard,stoer,1.45,3.33,3.0,3.58,4.0,4.12,3.0,6.23,2.0,5.0,6.15,4.0,2.67,4.17,2.13
snel,razendsnel,7.85,10.0,8.0,9.53,7.0,9.45,7.83,9.3,8.0,10.0,9.74,9.0,9.37,10.0,9.34
gelukkig,blij,8.1,8.33,6.0,7.76,6.5,7.16,7.27,8.7,7.5,5.83,7.55,7.0,8.37,8.33,7.41
kort,lang,1.78,0.0,1.0,1.17,1.0,1.0,1.55,1.86,1.0,1.67,2.84,1.0,1.0,1.67,1.05
dom,stom,6.89,8.33,7.0,7.64,5.5,5.92,7.2,7.48,8.0,4.17,7.21,8.0,6.0,8.33,8.5
vreemd,eigenaardig,9.12,10.0,9.0,9.8,9.0,9.8,9.68,9.75,9.25,10.0,9.28,9.0,9.0,9.17,9.12
breed,smal,1.56,0.0,2.0,2.34,1.0,1.0,1.55,1.73,1.0,1.67,2.61,2.0,1.0,2.5,1.07
makkelijk,moeilijk,3.23,0.0,1.0,2.02,3.0,2.05,2.87,1.15,1.0,2.5,2.76,1.0,1.0,2.5,1.45
moeilijk,gemakkelijk,3.23,0.0,1.0,2.15,3.0,2.05,2.0,1.15,1.0,2.5,2.76,1.0,1.0,2.5,6.22
slim,dom,2.14,0.0,2.0,3.84,2.0,1.0,2.0,1.25,3.0,0.0,2.11,2.0,2.33,2.5,2.31
krankzinnig,gek,8.67,10.0,9.0,8.56,9.0,9.39,9.69,8.97,9.0,9.17,9.15,9.0,9.0,10.0,8.84
gelukkig,kwaad,1.23,1.67,1.0,2.64,1.0,1.52,1.82,1.94,2.0,2.5,1.97,1.0,2.18,2.5,1.02
uitgebreid,groot,5.12,0.0,2.0,6.01,3.0,5.5,2.57,4.63,2.0,3.33,4.39,3.0,5.33,2.5,2.06
moeilijk,simpel,3.65,0.0,7.0,8.03,4.0,6.35,7.45,6.69,2.0,1.67,2.32,8.0,4.0,2.5,2.3
nieuw,vers,6.58,10.0,8.0,7.4,8.0,4.9,7.88,8.95,6.0,8.33,8.56,9.0,8.0,5.0,7.07
scherp,saai,1.25,0.0,1.0,1.83,1.0,1.0,2.1,1.06,1.0,0.0,2.03,1.0,1.0,1.67,1.18
vlug,snel,7.89,10.0,7.0,8.06,8.0,7.77,7.03,7.25,8.0,8.33,7.83,8.5,8.5,7.5,7.54
dom,dwaas,7.58,8.33,8.0,6.28,6.5,6.06,6.33,9.35,8.67,8.33,8.24,8.5,6.33,8.33,8.5
prachtig,fantastisch,7.88,8.33,7.0,8.92,7.5,8.42,7.43,7.91,6.5,8.33,8.78,5.0,7.5,8.33,7.6
